layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count,model
11,0.00278239720501,True,0.3326633165829146,0.6673366834170854,0.6673366834170854,0.6746987951807228,0.3993127346038818,0.6746987951807228,0.5381526104417671,0.6385542168674698,0.2046881914138794,0.0597021020948886,0.3513792753219604,115,gemma-2-2b-it
12,0.0026062997058033,True,0.3266331658291457,0.6733668341708543,0.6733668341708543,0.6706827309236948,0.3585230112075805,0.6706827309236948,0.5381526104417671,0.642570281124498,0.205389454960823,0.0571449473500251,0.3545618951320648,115,gemma-2-2b-it
13,0.0024583339691162,True,0.0442211055276381,0.955778894472362,0.955778894472362,0.9477911646586346,0.2309352457523346,0.9477911646586346,0.5381526104417671,0.4939759036144578,0.1008432731032371,0.149260938167572,0.4457585513591766,115,gemma-2-2b-it
14,0.001515902695246,True,0.0271356783919597,0.9728643216080402,0.9728643216080402,0.9558232931726908,0.2595592439174652,0.9558232931726908,0.5381526104417671,0.5100401606425703,0.0587621591985225,0.1159240007400512,0.4831260144710541,115,gemma-2-2b-it
15,0.0013612085022032,True,0.0251256281407035,0.9748743718592964,0.9748743718592964,0.963855421686747,0.2871193289756775,0.963855421686747,0.5381526104417671,0.5180722891566265,0.0268385298550128,0.123652309179306,0.4801324903964996,115,gemma-2-2b-it
16,0.0016400800086557,True,0.0241206030150753,0.9758793969849248,0.9758793969849248,0.9678714859437751,0.2727534770965576,0.9678714859437751,0.5381526104417671,0.5140562248995983,0.044095005840063,0.0991638824343681,0.4570061862468719,115,gemma-2-2b-it
17,0.0016606885474175,False,0.9748743718592964,0.0251256281407035,0.9748743718592964,0.9678714859437751,0.2543692588806152,0.9678714859437751,0.5381526104417671,0.5140562248995983,0.0431062467396259,0.1213810741901397,0.4156474471092224,115,gemma-2-2b-it
18,0.001912398263812,False,0.9748743718592964,0.0251256281407035,0.9748743718592964,0.9678714859437751,0.2318547219038009,0.9678714859437751,0.5381526104417671,0.5140562248995983,0.0634719654917717,0.1089129224419593,0.4247136116027832,115,gemma-2-2b-it
19,0.0023303530178964,True,0.0271356783919597,0.9728643216080402,0.9728643216080402,0.963855421686747,0.2172069698572158,0.963855421686747,0.5381526104417671,0.5100401606425703,0.0302358716726303,0.1051010116934776,0.4417870640754699,115,gemma-2-2b-it
20,0.0022308509796857,False,0.9748743718592964,0.0251256281407035,0.9748743718592964,0.963855421686747,0.2143369615077972,0.963855421686747,0.5381526104417671,0.5100401606425703,0.0382512882351875,0.088356465101242,0.4190946221351623,115,gemma-2-2b-it
21,0.0024869213812053,True,0.0271356783919597,0.9728643216080402,0.9728643216080402,0.9678714859437751,0.2022123485803604,0.9678714859437751,0.5381526104417671,0.5140562248995983,0.0255811400711536,0.0973881334066391,0.4742375016212463,115,gemma-2-2b-it
22,0.0023802309297025,True,0.0241206030150753,0.9758793969849248,0.9758793969849248,0.963855421686747,0.2060518562793731,0.963855421686747,0.5381526104417671,0.5180722891566265,0.0210760794579982,0.0816620215773582,0.4449295103549957,115,gemma-2-2b-it
23,0.0023690117523074,False,0.9738693467336684,0.0261306532663316,0.9738693467336684,0.9678714859437751,0.1883530467748642,0.9678714859437751,0.5381526104417671,0.5140562248995983,0.0292410869151353,0.0938687250018119,0.423322319984436,115,gemma-2-2b-it
24,0.002255864907056,False,0.9738693467336684,0.0261306532663316,0.9738693467336684,0.9598393574297188,0.1894904226064682,0.9598393574297188,0.5381526104417671,0.5140562248995983,0.0596640706062316,0.1065095141530036,0.4402045309543609,115,gemma-2-2b-it
25,0.003111511003226,False,0.9728643216080402,0.0271356783919597,0.9728643216080402,0.9598393574297188,0.1881235241889953,0.9598393574297188,0.5381526104417671,0.5140562248995983,0.0615951567888259,0.1198740005493164,0.4504585862159729,115,gemma-2-2b-it
26,0.0052914982661604,True,0.029145728643216,0.970854271356784,0.970854271356784,0.9598393574297188,0.171324998140335,0.9598393574297188,0.5381526104417671,0.5140562248995983,0.0674642696976661,0.1077462211251258,0.4623356461524963,115,gemma-2-2b-it
0,0.1999999731779098,False,0.5095477386934674,0.5095477386934674,0.5095477386934674,0.5381526104417671,0.0,0.4618473895582329,0.4618473895582329,1.0,0.0,0.0,0.3200340569019317,115,gemma-2-9b
1,0.0974090844392776,False,0.5618090452261306,0.4381909547738693,0.5618090452261306,0.5220883534136547,0.1676138639450073,0.5220883534136547,0.4618473895582329,0.4738955823293173,0.0615582354366779,0.0563192218542099,0.4191910028457641,115,gemma-2-9b
2,0.0328175500035285,False,0.6160804020100502,0.3839195979899497,0.6160804020100502,0.5903614457831325,0.2324853241443634,0.5903614457831325,0.4618473895582329,0.4859437751004016,0.3024255931377411,0.348063051700592,0.5704403519630432,115,gemma-2-9b
3,0.0286751482635736,False,0.6251256281407035,0.3748743718592965,0.6251256281407035,0.6104417670682731,0.3726843297481537,0.6104417670682731,0.4618473895582329,0.4417670682730923,0.3746263384819031,0.4565021395683288,0.5901330709457397,115,gemma-2-9b
4,0.0215043351054191,False,0.6562814070351759,0.3437185929648241,0.6562814070351759,0.6506024096385542,0.3363154232501983,0.6506024096385542,0.4618473895582329,0.4417670682730923,0.3828050494194031,0.3823500871658325,0.5989038944244385,115,gemma-2-9b
5,0.0195287335664033,False,0.6552763819095477,0.3447236180904522,0.6552763819095477,0.6305220883534136,0.2736329734325409,0.6305220883534136,0.4618473895582329,0.4377510040160642,0.3783052265644073,0.486275166273117,0.6111968755722046,115,gemma-2-9b
6,0.0172943715006113,False,0.6532663316582915,0.3467336683417085,0.6532663316582915,0.6345381526104418,0.2651439309120178,0.6345381526104418,0.4618473895582329,0.4257028112449799,0.4100405573844909,0.5730624198913574,0.6487460732460022,115,gemma-2-9b
7,0.0049645453691482,True,0.3376884422110552,0.6623115577889447,0.6623115577889447,0.678714859437751,0.1981531083583831,0.678714859437751,0.4618473895582329,0.3815261044176707,0.2257127314805984,0.0502142086625099,0.3614820539951324,115,gemma-2-9b
8,0.0024607374798506,False,0.6683417085427136,0.3316582914572864,0.6683417085427136,0.6827309236947792,0.5273207426071167,0.6827309236947792,0.4618473895582329,0.3775100401606425,0.250281274318695,0.0371130853891372,0.3678098320960998,115,gemma-2-9b
9,0.0025720444973558,False,0.6673366834170854,0.3326633165829146,0.6673366834170854,0.678714859437751,0.5094497799873352,0.678714859437751,0.4618473895582329,0.3734939759036144,0.2593076825141907,0.0447108596563339,0.3775563538074493,115,gemma-2-9b
10,0.0025571782607585,False,0.6673366834170854,0.3326633165829146,0.6673366834170854,0.678714859437751,0.5065929293632507,0.678714859437751,0.4618473895582329,0.3734939759036144,0.2592573463916778,0.0368735194206237,0.3650398254394531,115,gemma-2-9b
11,0.0021870122291147,True,0.3326633165829146,0.6673366834170854,0.6673366834170854,0.6827309236947792,0.5027242302894592,0.6827309236947792,0.4618473895582329,0.3694779116465863,0.2212429046630859,0.0459597632288932,0.3678049147129059,115,gemma-2-9b
12,0.0018769595772027,False,0.6663316582914572,0.3336683417085427,0.6663316582914572,0.6746987951807228,0.5307047367095947,0.6746987951807228,0.4618473895582329,0.3614457831325301,0.2494775801897049,0.0471903681755065,0.3914429843425751,115,gemma-2-9b
13,0.0017969844629988,False,0.6673366834170854,0.3326633165829146,0.6673366834170854,0.678714859437751,0.501495361328125,0.678714859437751,0.4618473895582329,0.3654618473895582,0.2536389231681824,0.0510305985808372,0.3918007910251617,115,gemma-2-9b
14,0.0016788078937679,True,0.3326633165829146,0.6673366834170854,0.6673366834170854,0.6746987951807228,0.505949079990387,0.6746987951807228,0.4618473895582329,0.3614457831325301,0.2595909237861633,0.0440722480416297,0.3672958612442016,115,gemma-2-9b
15,0.0018287028651684,False,0.664321608040201,0.335678391959799,0.664321608040201,0.678714859437751,0.4848560392856598,0.678714859437751,0.4618473895582329,0.3654618473895582,0.2587755918502807,0.0486532784998416,0.3951164484024048,115,gemma-2-9b
16,0.0019795466214418,False,0.6733668341708543,0.3266331658291457,0.6733668341708543,0.6867469879518072,0.5004367828369141,0.6867469879518072,0.4618473895582329,0.3654618473895582,0.2610798478126526,0.0661614313721656,0.3810973465442657,115,gemma-2-9b
17,0.0021410100162029,False,0.6723618090452261,0.3276381909547738,0.6723618090452261,0.6867469879518072,0.4796656370162964,0.6867469879518072,0.4618473895582329,0.3734939759036144,0.26828333735466,0.0657640546560287,0.3974193930625915,115,gemma-2-9b
