dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-2b-it,12,misaligned_output_aligned_latent,348,0.2784,0.00224255000000001,0.9950404465,0.0029163380747126446,0.9844507534999426,0.9916326020999999,0.98153441542523,0.9916326020999999
not,gemma-2-2b-it,12,both_misaligned,277,0.2216,0.0011577999999999866,0.0014039000000000135,0.0013450343321299634,0.03125362509025271,0.0014546500000000018,0.030904076750902523,0.0002627499999999783
not,gemma-2-2b-it,13,both_aligned,280,0.224,0.9994939,0.992631385,0.9994017342142858,0.9657630452142858,0.006873249999999997,0.03377372957142857,-0.006873249999999997
not,gemma-2-2b-it,13,aligned_output_misaligned_latent,345,0.276,0.99955803,0.012314862,0.9993598888985508,0.03261321529130435,0.987008103,0.9667466736072463,-0.987008103
not,gemma-2-2b-it,13,misaligned_output_aligned_latent,351,0.2808,0.0022363699999999875,0.9930186835,0.002898798774928775,0.9808232804998861,0.99007953,0.9779244817249574,0.99007953
not,gemma-2-2b-it,13,both_misaligned,274,0.2192,0.0011693299999999685,0.0014305000000000012,0.001350298503649635,0.02967616394160584,0.0015582749999999979,0.029357964708029198,0.0004129200000000388
not,gemma-2-2b-it,14,both_aligned,577,0.4616,0.9995461,0.9961819,0.9994700398093587,0.9735262887175042,0.0033452499999999663,0.025990527175043323,-0.0033452499999999663
not,gemma-2-2b-it,14,aligned_output_misaligned_latent,48,0.0384,0.9989298,0.082360833,0.9982798808333334,0.12208387531458333,0.913844702,0.87619600551875,-0.913844702
not,gemma-2-2b-it,14,misaligned_output_aligned_latent,616,0.4928,0.001575800000000016,0.9942184056000001,0.002240606428571429,0.9860041935961363,0.9917992148000001,0.9837635871675651,0.9917992148000001
not,gemma-2-2b-it,14,both_misaligned,9,0.0072,0.0005702400000000551,0.19134189999999995,0.0008051777777777892,0.17007197333333332,0.19081326999999992,0.16926679555555554,0.19081326999999992
not,gemma-2-2b-it,15,both_aligned,575,0.46,0.9995461,0.9985508,0.9994696730434782,0.9790995202260869,0.0009589700000000034,0.02051376464347826,-0.0009487699999999322
not,gemma-2-2b-it,15,aligned_output_misaligned_latent,50,0.04,0.9989551999999999,0.07499064999999999,0.9983317049999999,0.11393153394000001,0.9240012,0.88440017106,-0.9240012
not,gemma-2-2b-it,15,misaligned_output_aligned_latent,617,0.4936,0.0015701700000000374,0.996668332,0.002238335348460292,0.9892812700467424,0.994105452,0.987042934698282,0.994105452
not,gemma-2-2b-it,15,both_misaligned,8,0.0064,0.0005494350000000425,0.087632125,0.0008009062500000108,0.11472620625,0.08709285499999997,0.11400319999999999,0.08709285499999997
not,gemma-2-2b-it,16,both_aligned,576,0.4608,0.999546225,0.9963207300000001,0.9994703246527776,0.9724790446527778,0.0031830999999999943,0.027011263229166665,-0.0031830999999999943
not,gemma-2-2b-it,16,aligned_output_misaligned_latent,49,0.0392,0.9990515,0.11594657,0.9983008214285713,0.12621080568061224,0.88310623,0.8720900157479592,-0.88310623
not,gemma-2-2b-it,16,misaligned_output_aligned_latent,609,0.4872,0.0015908000000000033,0.9944143007,0.0022562954022988507,0.9848278729146633,0.9918153524000001,0.9825715775123646,0.9918153524000001
not,gemma-2-2b-it,16,both_misaligned,16,0.0128,0.0007155149999999999,0.1504431,0.0008360162500000087,0.140933479375,0.149471725,0.140110913125,0.149471725
not,gemma-2-2b-it,17,both_aligned,576,0.4608,0.999546225,0.9966401300000001,0.9994692529513889,0.9719114422222224,0.002877194999999999,0.027580248854166666,-0.002877194999999999
not,gemma-2-2b-it,17,aligned_output_misaligned_latent,49,0.0392,0.9990528,0.083491564,0.9983134193877551,0.11822613028489795,0.9150536,0.8800872891028572,-0.9150536
not,gemma-2-2b-it,17,misaligned_output_aligned_latent,609,0.4872,0.0015908000000000033,0.9958975315,0.0022562954022988507,0.9872859545903613,0.993353847,0.9850296591880623,0.993353847
not,gemma-2-2b-it,17,both_misaligned,16,0.0128,0.0007155149999999999,0.14397717000000004,0.0008360162500000087,0.145777393125,0.14291234500000005,0.144941376875,0.14291234500000005
not,gemma-2-2b-it,18,both_aligned,577,0.4616,0.99954563,0.9936825,0.9994676437608319,0.9678555722010399,0.00576036000000002,0.03161253915077989,-0.00576036000000002
not,gemma-2-2b-it,18,aligned_output_misaligned_latent,48,0.0384,0.999067265,0.087502808,0.9983086833333333,0.13056642790208334,0.911640292,0.86774225543125,-0.911640292
not,gemma-2-2b-it,18,misaligned_output_aligned_latent,609,0.4872,0.0015908000000000033,0.9941283464,0.0022562954022988507,0.9837676649031198,0.9919013374,0.9815113695008211,0.9919013374
not,gemma-2-2b-it,18,both_misaligned,16,0.0128,0.0007155149999999999,0.16124880000000003,0.0008360162500000087,0.17716290437499999,0.16037423,0.17632688812499997,0.16037423
not,gemma-2-2b-it,19,both_aligned,579,0.4632,0.9995461,0.99484414,0.9994683088255614,0.9684086738169257,0.004689900000000025,0.03106457922279792,-0.004689900000000025
not,gemma-2-2b-it,19,aligned_output_misaligned_latent,46,0.0368,0.99905215,0.092930308,0.9982499226086957,0.1261332411247826,0.906374792,0.872116681483913,-0.906374792
not,gemma-2-2b-it,19,misaligned_output_aligned_latent,609,0.4872,0.0015908000000000033,0.994965742,0.0022562954022988507,0.9845777542203941,0.9923233627,0.9823214588180953,0.9923233627
not,gemma-2-2b-it,19,both_misaligned,16,0.0128,0.0007155149999999999,0.18404434999999997,0.0008360162500000087,0.169526238125,0.18316977999999995,0.168690221875,0.18316977999999995
not,gemma-2-2b-it,20,both_aligned,579,0.4632,0.99954563,0.9925211,0.9994631269084628,0.9647829971675302,0.007044900000000021,0.03468012974093264,-0.007044900000000021
not,gemma-2-2b-it,20,aligned_output_misaligned_latent,46,0.0368,0.99905215,0.099007992,0.9983151471739131,0.13788797894565216,0.8998788579999999,0.8604271682282609,-0.8998788579999999
not,gemma-2-2b-it,20,misaligned_output_aligned_latent,610,0.488,0.0015876650000000159,0.9935910701999999,0.0022535313770491805,0.9820236786228852,0.9913707986,0.9797701472458361,0.9913707986
not,gemma-2-2b-it,20,both_misaligned,15,0.012,0.0007757999999999932,0.22986775999999998,0.0008537346666666723,0.1970782313333333,0.22868886,0.19622449666666666,0.22868886
not,gemma-2-2b-it,21,both_aligned,576,0.4608,0.999546825,0.9920864,0.99946550125,0.963246967951389,0.007315539999999954,0.03621940260416666,-0.007315539999999954
not,gemma-2-2b-it,21,aligned_output_misaligned_latent,49,0.0392,0.9990515,0.11650425,0.9983575210204081,0.13960443965102043,0.8804127700000001,0.8587530813693878,-0.8804127700000001
not,gemma-2-2b-it,21,misaligned_output_aligned_latent,610,0.488,0.0015876650000000159,0.9923773415,0.0022537666229508198,0.9811333016952459,0.9900801705,0.9788795350722951,0.9900801705
not,gemma-2-2b-it,21,both_misaligned,15,0.012,0.0007757999999999932,0.2503729,0.0008441680000000081,0.21426322266666667,0.24919400000000003,0.21341905466666666,0.24919400000000003
not,gemma-2-2b-it,22,both_aligned,573,0.4584,0.99954814,0.99167013,0.9994666367364747,0.9617267868935427,0.007933999999999997,0.03774039783595114,-0.007933999999999997
not,gemma-2-2b-it,22,aligned_output_misaligned_latent,52,0.0416,0.999066615,0.1067771,0.9984089307692308,0.1462593681230769,0.8922127,0.8521495626461538,-0.8922127
not,gemma-2-2b-it,22,misaligned_output_aligned_latent,610,0.488,0.0015876650000000159,0.9933451115,0.0022537666229508198,0.9791066368013279,0.990697084,0.9768528701783771,0.990697084
not,gemma-2-2b-it,22,both_misaligned,15,0.012,0.0007757999999999932,0.20539130000000005,0.0008441680000000081,0.21170899333333332,0.20421240000000007,0.2108648253333333,0.20421240000000007
not,gemma-2-2b-it,23,both_aligned,571,0.4568,0.99954814,0.9908931,0.999466628458844,0.9611167711558668,0.008553699999999997,0.03835059092819615,-0.008553699999999997
not,gemma-2-2b-it,23,aligned_output_misaligned_latent,54,0.0432,0.999085615,0.09665596300000001,0.9984481925925927,0.14866472513333331,0.9027156869999999,0.8497834674592591,-0.9027156869999999
not,gemma-2-2b-it,23,misaligned_output_aligned_latent,610,0.488,0.0015876650000000159,0.9925189614500001,0.0022537666229508198,0.9798569603149017,0.9902613785000001,0.9776031936919508,0.9902613785000001
not,gemma-2-2b-it,23,both_misaligned,15,0.012,0.0007757999999999932,0.2548456,0.0008441680000000081,0.23923122333333335,0.2544851,0.23838705533333335,0.2544851
not,gemma-2-2b-it,24,both_aligned,573,0.4584,0.9995473,0.990575,0.9994659143630017,0.9601432154799302,0.008994050000000087,0.03932292694589878,-0.008994050000000087
not,gemma-2-2b-it,24,aligned_output_misaligned_latent,52,0.0416,0.999085615,0.10523939,0.9984168907692308,0.14461131096153845,0.892753125,0.8538055798076923,-0.892753125
not,gemma-2-2b-it,24,misaligned_output_aligned_latent,609,0.4872,0.0015908000000000033,0.991204143,0.0022551008866995076,0.9768016316710674,0.988670647,0.9745465307843677,0.988670647
not,gemma-2-2b-it,24,both_misaligned,16,0.0128,0.0007777749999999806,0.18427414999999997,0.0008814825000000096,0.21938060125,0.18350444999999999,0.21849911875,0.18350444999999999
not,gemma-2-2b-it,25,both_aligned,572,0.4576,0.99954772,0.9832644500000001,0.9994673853146853,0.9505214900174825,0.016367699999999985,0.04894589529720279,-0.016367699999999985
not,gemma-2-2b-it,25,aligned_output_misaligned_latent,53,0.0424,0.9990528,0.1339635,0.998420808490566,0.1604651288245283,0.86281066,0.8379556796660377,-0.86281066
not,gemma-2-2b-it,25,misaligned_output_aligned_latent,609,0.4872,0.0015908000000000033,0.985929927,0.0022551008866995076,0.9710188991500658,0.983593101,0.9687637982633661,0.983593101
not,gemma-2-2b-it,25,both_misaligned,16,0.0128,0.0007777749999999806,0.23159944999999998,0.0008814825000000096,0.2417581525,0.230534625,0.24087667,0.230534625
not,gemma-2-2b-it,26,both_aligned,565,0.452,0.9995491,0.96960306,0.999465689221239,0.9371404181946902,0.029903899999999983,0.062325271026548675,-0.029903899999999983
not,gemma-2-2b-it,26,aligned_output_misaligned_latent,60,0.048,0.9991107,0.192229985,0.9985588806666666,0.20831652009999999,0.807060565,0.7902423605666667,-0.807060565
not,gemma-2-2b-it,26,misaligned_output_aligned_latent,602,0.4816,0.0015925250000000113,0.9778663814999999,0.002253763704318937,0.9581481967538205,0.9758814004999999,0.9558944330495017,0.9758814004999999
not,gemma-2-2b-it,26,both_misaligned,23,0.0184,0.0009507500000000002,0.25180525,0.001334539565217394,0.24373437999999997,0.25036404999999995,0.2423998404347826,0.25036404999999995
