layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count,model
15,0.0022620116360485,False,0.509,0.491,0.509,0.528,0.4148269891738891,0.528,0.488,0.568,0.1108357906341552,6.157985626487061e-05,0.1599814742803573,121,gemma-2-9b
16,0.0025016462896019,True,0.492,0.508,0.508,0.528,0.4575556218624115,0.528,0.488,0.568,0.1076809838414192,5.912947017350234e-05,0.1522527635097503,121,gemma-2-9b
17,0.0027802900876849,True,0.492,0.508,0.508,0.532,0.4515019655227661,0.532,0.488,0.564,0.0734375268220901,8.66117188706994e-05,0.1497126072645187,121,gemma-2-9b
18,0.00217110151425,False,0.51,0.49,0.51,0.524,0.4077861309051513,0.524,0.488,0.572,0.0978249236941337,6.531775579787791e-05,0.1647366136312484,121,gemma-2-9b
19,0.0017897869693115,False,0.509,0.491,0.509,0.52,0.3587993383407593,0.52,0.488,0.576,0.0782068446278572,9.806373418541624e-05,0.1771136373281479,121,gemma-2-9b
20,0.002236156258732,False,0.505,0.495,0.505,0.52,0.3261338770389557,0.52,0.488,0.576,0.1101343929767608,0.0001138899824582,0.1832491308450698,121,gemma-2-9b
21,0.0024797110818326,False,0.504,0.496,0.504,0.52,0.2920927107334137,0.52,0.488,0.576,0.1228236258029937,0.000256619619904,0.1796202361583709,121,gemma-2-9b
22,0.0025280856061726,True,0.489,0.511,0.511,0.524,0.2762524783611297,0.524,0.488,0.572,0.1047705486416816,0.0003564167418517,0.1767290979623794,121,gemma-2-9b
23,0.0033047648612409,False,0.511,0.489,0.511,0.524,0.2588359117507934,0.524,0.488,0.572,0.1123806461691856,0.0006558845634572,0.1939446181058883,121,gemma-2-9b
24,0.0042278803884983,False,0.504,0.496,0.504,0.52,0.2394035756587982,0.52,0.488,0.576,0.1026109009981155,0.0006034652469679,0.18612702190876,121,gemma-2-9b
25,0.0041880160570144,False,0.506,0.494,0.506,0.536,0.2232711464166641,0.536,0.488,0.56,0.1017908453941345,0.0010398622835054,0.1889775842428207,121,gemma-2-9b
26,0.0044792401604354,False,0.501,0.499,0.501,0.52,0.2059364020824432,0.52,0.488,0.576,0.0772134959697723,0.0009668520069681,0.17554871737957,121,gemma-2-9b
27,0.0064656352624297,False,0.754,0.246,0.754,0.772,0.2375619858503341,0.772,0.488,0.436,0.2764161825180053,0.2519271373748779,0.457179993391037,121,gemma-2-9b
28,0.0066837049089372,False,0.535,0.465,0.535,0.552,0.2069907784461975,0.552,0.488,0.544,0.1081038564443588,0.0014589022612199,0.2001591771841049,121,gemma-2-9b
29,0.007274355739355,True,0.471,0.529,0.529,0.56,0.2101268023252487,0.56,0.488,0.528,0.1064694449305534,0.0020710525568574,0.1964181959629058,121,gemma-2-9b
30,0.0082439128309488,True,0.249,0.751,0.751,0.768,0.2606114149093628,0.768,0.488,0.448,0.2244639694690704,0.2139189690351486,0.5311586260795593,121,gemma-2-9b
31,0.0085014170035719,True,0.242,0.758,0.758,0.756,0.2493172287940979,0.756,0.488,0.468,0.3094808459281921,0.305406391620636,0.5611838698387146,121,gemma-2-9b
32,0.0091822324320673,False,0.762,0.238,0.762,0.752,0.2434748262166977,0.752,0.488,0.488,0.3253908157348633,0.3051446676254272,0.544810950756073,121,gemma-2-9b
33,0.009025665000081,False,0.567,0.433,0.567,0.584,0.2210051119327545,0.584,0.488,0.536,0.0881294161081314,0.008030068129301,0.2319637238979339,121,gemma-2-9b
34,0.0094777131453156,False,0.753,0.247,0.753,0.744,0.2338276505470276,0.744,0.488,0.48,0.3101784884929657,0.3369184732437134,0.5376412868499756,121,gemma-2-9b
35,0.0091079464182257,False,0.748,0.252,0.748,0.732,0.2335709780454635,0.732,0.488,0.476,0.2841626703739166,0.365884006023407,0.543622612953186,121,gemma-2-9b
36,0.0089146196842193,False,0.751,0.249,0.751,0.72,0.2249412536621093,0.72,0.488,0.496,0.298609972000122,0.3077556788921356,0.5328925848007202,121,gemma-2-9b
37,0.0088712070137262,False,0.756,0.244,0.756,0.732,0.2322600781917572,0.732,0.488,0.468,0.2925099432468414,0.3315445184707641,0.5224112272262573,121,gemma-2-9b
38,0.0084996921941638,False,0.75,0.25,0.75,0.72,0.2249971032142639,0.72,0.488,0.488,0.2717370092868805,0.3448626697063446,0.5353184342384338,121,gemma-2-9b
39,0.0086511438712477,False,0.753,0.247,0.753,0.736,0.2206716686487198,0.736,0.488,0.48,0.2798571288585663,0.3563332855701446,0.5432835817337036,121,gemma-2-9b
40,0.0092174094170331,True,0.256,0.744,0.744,0.74,0.2181055545806884,0.74,0.488,0.476,0.2732978463172912,0.3796725869178772,0.6115805506706238,121,gemma-2-9b
41,0.0090055242180824,True,0.254,0.746,0.746,0.756,0.2299861162900924,0.756,0.488,0.436,0.1424462646245956,0.2648596465587616,0.5525798201560974,121,gemma-2-9b
42,0.0057917507365345,True,0.254,0.746,0.746,0.752,0.2263076454401016,0.752,0.488,0.432,0.1843754053115844,0.2697571218013763,0.5540047883987427,121,gemma-2-9b
0,0.1997894048690796,False,0.504,0.502,0.504,0.516,0.0,0.484,0.852,0.352,0.0,0.0,0.3202061951160431,121,gemma-2-9b-it
1,0.0956442952156066,False,0.508,0.492,0.508,0.572,0.3027528524398803,0.572,0.852,0.544,0.0996518954634666,0.0938174501061439,0.4699076116085052,121,gemma-2-9b-it
2,0.0411593317985534,False,0.536,0.464,0.536,0.6,0.1329342275857925,0.6,0.852,0.612,0.2407573610544204,0.3376547992229461,0.5885630249977112,121,gemma-2-9b-it
3,0.02911246009171,True,0.424,0.576,0.576,0.5880000000000001,0.2474128305912017,0.588,0.852,0.592,0.3394033312797546,0.4791626334190368,0.6346947550773621,121,gemma-2-9b-it
4,0.0249138548970222,False,0.575,0.425,0.575,0.604,0.2396253645420074,0.604,0.852,0.608,0.3894825577735901,0.4899338483810425,0.628308892250061,121,gemma-2-9b-it
5,0.0205435194075107,False,0.584,0.416,0.584,0.62,0.1860248148441314,0.62,0.852,0.624,0.377206414937973,0.3984608352184295,0.6119017601013184,121,gemma-2-9b-it
6,0.0190939083695411,True,0.427,0.573,0.573,0.596,0.1928303390741348,0.596,0.852,0.616,0.3276338577270508,0.5321212410926819,0.6495002508163452,121,gemma-2-9b-it
7,0.0041745966300368,False,0.542,0.458,0.542,0.548,0.2538876235485077,0.548,0.852,0.584,0.0487290918827056,0.0007488028495572,0.101379670202732,121,gemma-2-9b-it
8,0.0032112330663949,True,0.462,0.538,0.538,0.548,0.519807755947113,0.548,0.852,0.584,0.0599421858787536,0.0001836426381487,0.0942416116595268,121,gemma-2-9b-it
9,0.0033115672413259,False,0.536,0.464,0.536,0.548,0.5037659406661987,0.548,0.852,0.584,0.0582057423889637,0.0002349338610656,0.0955715104937553,121,gemma-2-9b-it
10,0.0034605241380631,False,0.53,0.47,0.53,0.548,0.5197569131851196,0.548,0.852,0.584,0.0503442585468292,0.0003062085597775,0.1044030115008354,121,gemma-2-9b-it
11,0.0035854838788509,True,0.483,0.517,0.517,0.536,0.5352633595466614,0.536,0.852,0.556,0.0738787278532981,5.46666924492456e-05,0.1239296719431877,121,gemma-2-9b-it
12,0.0037121153436601,False,0.523,0.477,0.523,0.54,0.5485771298408508,0.54,0.852,0.568,0.0693689137697219,6.948168447706848e-05,0.1205905675888061,121,gemma-2-9b-it
13,0.0032299587037414,True,0.474,0.526,0.526,0.544,0.5181698203086853,0.544,0.852,0.564,0.0680617317557334,3.243608443881385e-05,0.1149737015366554,121,gemma-2-9b-it
14,0.0027253797743469,False,0.507,0.493,0.507,0.536,0.5164797306060791,0.536,0.852,0.564,0.0873213186860084,3.5538876545615494e-05,0.1374542564153671,121,gemma-2-9b-it
15,0.0024764467962086,False,0.5,0.5,0.5,0.52,0.491090327501297,0.48,0.852,0.444,0.0981114730238914,5.2842300647171214e-05,0.1395259946584701,121,gemma-2-9b-it
16,0.0026260109152644,False,0.502,0.498,0.502,0.508,0.5256485939025879,0.508,0.852,0.552,0.0801349729299545,6.035566912032664e-05,0.1318646669387817,121,gemma-2-9b-it
17,0.0024463965091854,False,0.504,0.496,0.504,0.524,0.5019366145133972,0.524,0.852,0.552,0.0785800889134407,3.149917392875068e-05,0.1254439502954483,121,gemma-2-9b-it
18,0.0021513502579182,True,0.494,0.506,0.506,0.512,0.4629075229167938,0.488,0.852,0.452,0.0819282457232475,8.291257108794525e-05,0.1467768102884292,121,gemma-2-9b-it
19,0.0019687288440763,False,0.507,0.493,0.507,0.516,0.3802627623081207,0.516,0.852,0.552,0.0539461001753807,0.0001120000160881,0.1441985666751861,121,gemma-2-9b-it
20,0.0016595951747149,False,0.962,0.038,0.962,0.96,0.2446886748075485,0.96,0.852,0.844,0.0666169226169586,0.0994569882750511,0.3815846443176269,121,gemma-2-9b-it
21,0.0014690740499645,True,0.043,0.957,0.957,0.956,0.3044107854366302,0.956,0.852,0.848,0.0838334709405899,0.1123692318797111,0.516828715801239,121,gemma-2-9b-it
22,0.0015614648582413,False,0.963,0.037,0.963,0.96,0.3344964385032654,0.96,0.852,0.852,0.0334226302802562,0.127474769949913,0.4018977284431457,121,gemma-2-9b-it
23,0.0020007616840302,False,0.958,0.042,0.958,0.956,0.3637557327747345,0.956,0.852,0.848,0.0376100279390811,0.1502355486154556,0.4148693382740021,121,gemma-2-9b-it
24,0.0020065535791218,False,0.958,0.042,0.958,0.948,0.3999751210212707,0.948,0.852,0.84,0.0140660097822546,0.1297778040170669,0.4075939953327179,121,gemma-2-9b-it
25,0.0021791236940771,False,0.956,0.044,0.956,0.948,0.4004914462566376,0.948,0.852,0.84,0.0435576252639293,0.133854404091835,0.4235650599002838,121,gemma-2-9b-it
26,0.0020248794462531,True,0.042,0.958,0.958,0.948,0.3894557356834411,0.948,0.852,0.84,0.0367939583957195,0.112979918718338,0.4635901153087616,121,gemma-2-9b-it
27,0.0020755156874656,False,0.957,0.043,0.957,0.936,0.3810940384864807,0.936,0.852,0.828,0.0387528575956821,0.1231596618890762,0.4098988771438598,121,gemma-2-9b-it
28,0.0025422081816941,True,0.042,0.958,0.958,0.94,0.3737123012542724,0.94,0.852,0.832,0.0183350853621959,0.1261661052703857,0.4772384762763977,121,gemma-2-9b-it
29,0.0027263483498245,False,0.956,0.044,0.956,0.936,0.3631619215011596,0.936,0.852,0.836,0.020409831777215,0.0978836119174957,0.4188579320907593,121,gemma-2-9b-it
30,0.0027316333726048,False,0.946,0.054,0.946,0.94,0.3697676062583923,0.94,0.852,0.84,0.022643132135272,0.1105734258890152,0.4271686673164367,121,gemma-2-9b-it
31,0.0025630658492445,True,0.055,0.945,0.945,0.944,0.3710319697856903,0.944,0.852,0.836,0.0183477774262428,0.1298090815544128,0.4408706128597259,121,gemma-2-9b-it
32,0.0028912853449583,True,0.058,0.942,0.942,0.94,0.3577316999435425,0.94,0.852,0.832,0.0313278436660766,0.1227963492274284,0.4303852617740631,121,gemma-2-9b-it
33,0.0027800991665571,True,0.061,0.939,0.939,0.94,0.3518750369548797,0.94,0.852,0.832,0.0284691248089075,0.13277667760849,0.4521267712116241,121,gemma-2-9b-it
34,0.0025181891396641,True,0.059,0.941,0.941,0.94,0.3436611890792846,0.94,0.852,0.832,0.0364524871110916,0.130846619606018,0.4550093412399292,121,gemma-2-9b-it
35,0.0024275959003716,True,0.059,0.941,0.941,0.936,0.3368709087371826,0.936,0.852,0.828,0.0369345694780349,0.129692256450653,0.4569032490253448,121,gemma-2-9b-it
36,0.0024743191897869,True,0.06,0.94,0.94,0.936,0.3349797129631042,0.936,0.852,0.836,0.0284154396504163,0.1239066421985626,0.4477095901966095,121,gemma-2-9b-it
37,0.002367143984884,True,0.059,0.941,0.941,0.94,0.3304257392883301,0.94,0.852,0.84,0.0433715507388114,0.1318238079547882,0.450154036283493,121,gemma-2-9b-it
38,0.0021420281846076,True,0.061,0.939,0.939,0.932,0.327271431684494,0.932,0.852,0.832,0.0409470275044441,0.1381957828998565,0.4808228611946106,121,gemma-2-9b-it
39,0.0020716125145554,True,0.055,0.945,0.945,0.928,0.3327292501926422,0.928,0.852,0.836,0.0227629579603672,0.1496266424655914,0.4549147188663482,121,gemma-2-9b-it
40,0.0022156019695103,False,0.939,0.061,0.939,0.932,0.3336489498615265,0.932,0.852,0.832,0.0490189045667648,0.1740956455469131,0.4166199266910553,121,gemma-2-9b-it
41,0.0029627080075442,True,0.062,0.938,0.938,0.932,0.3190294802188873,0.932,0.852,0.832,0.0371874570846557,0.1285330057144165,0.4765616059303283,121,gemma-2-9b-it
42,0.0014607635093852,False,0.942,0.058,0.942,0.928,0.3040118217468261,0.928,0.852,0.836,0.0398186780512332,0.1766713410615921,0.4440311789512634,121,gemma-2-9b-it
0,0.199999988079071,False,0.504,0.504,0.504,0.516,0.0,0.484,0.62,0.856,0.0,0.0,0.3200323283672333,121,deberta-hate-tuned
1,0.1781352907419204,True,0.494,0.506,0.506,0.524,0.463918387889862,0.524,0.62,0.568,0.0023150143679231,0.0079959658905863,0.3418770432472229,121,deberta-hate-tuned
2,0.1607889831066131,False,0.52,0.48,0.52,0.54,0.1906258016824722,0.54,0.62,0.464,-0.0007709848578087,0.0163053218275308,0.3536669313907623,121,deberta-hate-tuned
3,0.1611732840538025,False,0.521,0.479,0.521,0.516,0.4063940346240997,0.516,0.62,0.504,-0.0031627160497009,0.0262683946639299,0.3620291650295257,121,deberta-hate-tuned
4,0.1063078790903091,True,0.498,0.502,0.502,0.532,0.2032521367073059,0.468,0.62,0.448,0.001150682917796,0.1079859659075737,0.4456570446491241,121,deberta-hate-tuned
5,0.1312901675701141,True,0.493,0.507,0.507,0.532,0.4017989635467529,0.532,0.62,0.512,0.0230588652193546,0.0610079988837242,0.4039749801158905,121,deberta-hate-tuned
6,0.1150536090135574,False,0.507,0.493,0.507,0.536,0.4334781169891357,0.536,0.62,0.428,-0.0195357352495193,0.1005927324295044,0.4288581311702728,121,deberta-hate-tuned
7,0.1242101117968559,True,0.477,0.523,0.523,0.54,0.3125883042812347,0.54,0.62,0.448,0.0322632044553756,0.0692809224128723,0.4148662686347961,121,deberta-hate-tuned
8,0.1312569230794906,True,0.492,0.508,0.508,0.508,0.4043885767459869,0.508,0.62,0.472,-0.0025343541055917,0.0545211061835289,0.3956204354763031,121,deberta-hate-tuned
9,0.1218896508216857,True,0.487,0.513,0.513,0.54,0.4880024492740631,0.54,0.62,0.512,0.0370607860386371,0.1030467897653579,0.4303384125232696,121,deberta-hate-tuned
10,0.1492409408092498,False,0.558,0.442,0.558,0.54,0.3410731852054596,0.54,0.62,0.432,0.0254883226007223,0.0150909377261996,0.3558370471000671,121,deberta-hate-tuned
11,0.1545893400907516,False,0.522,0.478,0.522,0.508,0.3748329877853393,0.508,0.62,0.416,0.0143474852666258,0.0240092854946851,0.356290340423584,121,deberta-hate-tuned
12,0.1538693159818649,True,0.4,0.6,0.6,0.56,0.3633679151535034,0.56,0.62,0.484,0.0098293628543615,0.0095879342406988,0.3463870584964752,121,deberta-hate-tuned
