dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-9b-it,4,both_aligned,609,0.4872,0.9991704,0.95656055,0.9675151549697866,0.8938777701485797,0.056509893099999986,0.1127386424290394,-0.024017071000000056
not,gemma-2-9b-it,4,aligned_output_misaligned_latent,415,0.332,0.9992505,0.07311622,0.97240414092,0.12599078330677108,0.893404265,0.8464133576132289,-0.893404265
not,gemma-2-9b-it,4,misaligned_output_aligned_latent,117,0.0936,0.06008667000000001,0.9457257,0.10619020413675215,0.8708886981884273,0.7905019499999999,0.7646984940516752,0.7905019499999999
not,gemma-2-9b-it,4,both_misaligned,109,0.0872,0.045352599999999965,0.043949959999999955,0.10293296591743119,0.09007757706422018,0.08086729999999998,0.11476911573394495,-0.004316230000000032
not,gemma-2-9b-it,5,both_aligned,626,0.5008,0.9992416500000001,0.9658969,0.9691157886154953,0.8981868791238983,0.0439676296,0.10923959242278002,-0.021830245000000026
not,gemma-2-9b-it,5,aligned_output_misaligned_latent,398,0.3184,0.999123815,0.06094046749999998,0.9700953873997488,0.10988223740940956,0.9117127810000001,0.8602131499903393,-0.9117127810000001
not,gemma-2-9b-it,5,misaligned_output_aligned_latent,113,0.0904,0.05340330000000004,0.955705404,0.10469339366371681,0.9001582437252124,0.79917717,0.7954648500614955,0.79917717
not,gemma-2-9b-it,5,both_misaligned,113,0.0904,0.05834585000000003,0.055633400000000055,0.10454507685840708,0.10078942407079647,0.08290210000000009,0.12115337163716815,-0.0011317299999999975
not,gemma-2-9b-it,6,both_aligned,611,0.4888,0.9992679,0.9722463,0.9702450423430442,0.9110466754769924,0.036170399999999936,0.09654901686684517,-0.01568082000000004
not,gemma-2-9b-it,6,aligned_output_misaligned_latent,413,0.3304,0.9990746,0.042193060000000004,0.9683891694595641,0.10691691079292663,0.9170355099999999,0.8614722586666375,-0.9170355099999999
not,gemma-2-9b-it,6,misaligned_output_aligned_latent,111,0.0888,0.06187600000000004,0.965706646,0.11348258733333334,0.9163453700280397,0.82760323,0.8028627826947063,0.82760323
not,gemma-2-9b-it,6,both_misaligned,115,0.092,0.044018699999999966,0.061282599999999965,0.09606417369565218,0.11125992852173913,0.08197860000000001,0.1260383062,-0.00025498000000001575
not,gemma-2-9b-it,7,both_aligned,580,0.464,0.9991065,0.984134225,0.9736130626046551,0.9662988320277587,0.019134232899999992,0.049886848676206894,-0.011686269999999943
not,gemma-2-9b-it,7,aligned_output_misaligned_latent,444,0.3552,0.9992679,0.024473306000000007,0.9641190800623873,0.04853761286351352,0.9570861915,0.9155814671988739,-0.9570861915
not,gemma-2-9b-it,7,misaligned_output_aligned_latent,99,0.0792,0.06008667000000001,0.9923029183,0.11127416206060607,0.9780128333682828,0.8908407949999999,0.8667386713076768,0.8908407949999999
not,gemma-2-9b-it,7,both_misaligned,127,0.1016,0.045352599999999965,0.01830982999999997,0.09943153641732283,0.04428047397637795,0.06334354000000009,0.09883107440944881,-0.024928229999999996
not,gemma-2-9b-it,8,both_aligned,571,0.4568,0.9990601,0.99349105,0.9731003277227671,0.9732560778814361,0.010531469999999987,0.04717703666234676,-0.002985149999999992
not,gemma-2-9b-it,8,aligned_output_misaligned_latent,453,0.3624,0.99929035,0.011265695,0.9649539971935983,0.027829345529580576,0.9784955009999999,0.9371246516640176,-0.9784955009999999
not,gemma-2-9b-it,8,misaligned_output_aligned_latent,104,0.0832,0.06053093500000001,0.99588921665,0.11071587542307691,0.9793690108769231,0.9197228168,0.8686531354538461,0.9197228168
not,gemma-2-9b-it,8,both_misaligned,122,0.0976,0.045352599999999965,0.006597300000000028,0.0994220993852459,0.032873574516393445,0.05733527500000002,0.09456005537704919,-0.03208259999999996
not,gemma-2-9b-it,9,both_aligned,570,0.456,0.9990818,0.9935229525,0.9731823389363158,0.9718832031842632,0.01220342000000002,0.04912955374935087,-0.0031081949999999803
not,gemma-2-9b-it,9,aligned_output_misaligned_latent,454,0.3632,0.99929035,0.009554124,0.9648689750323789,0.02893842395427313,0.9785655075,0.9359305510781057,-0.9785655075
not,gemma-2-9b-it,9,misaligned_output_aligned_latent,103,0.0824,0.06008667000000001,0.9960792772,0.10902791304854369,0.9822644920831067,0.91483053,0.8732365790345631,0.91483053
not,gemma-2-9b-it,9,both_misaligned,123,0.0984,0.045352599999999965,0.007416599999999995,0.10092741565040651,0.03286684320325203,0.05019182,0.0953534266097561,-0.030105449999999978
not,gemma-2-9b-it,10,both_aligned,564,0.4512,0.99906735,0.9943687422,0.9726496167547872,0.9695637626331384,0.012418772299999992,0.05186546236132978,-0.002234815000000001
not,gemma-2-9b-it,10,aligned_output_misaligned_latent,460,0.368,0.99929035,0.008434997999999999,0.9656305739319565,0.027918908591391303,0.9784902879999999,0.9377116653405653,-0.9784902879999999
not,gemma-2-9b-it,10,misaligned_output_aligned_latent,103,0.0824,0.06008667000000001,0.9966816644,0.10902791304854369,0.9840184064806796,0.9162895615000001,0.8749904934321359,0.9162895615000001
not,gemma-2-9b-it,10,both_misaligned,123,0.0984,0.045352599999999965,0.0028633999999999604,0.10092741565040651,0.028223807008130083,0.06222415999999997,0.09812417986178862,-0.035598629999999964
not,gemma-2-9b-it,11,both_aligned,542,0.4336,0.99861146335,0.9969247881000001,0.9712454685252767,0.9720126735634133,0.008693298550000006,0.051004270789797045,-0.0003373799999999427
not,gemma-2-9b-it,11,aligned_output_misaligned_latent,482,0.3856,0.9993487,0.0039642752,0.9675298836466805,0.025287730627095436,0.9885204175,0.942242153019585,-0.9885204175
not,gemma-2-9b-it,11,misaligned_output_aligned_latent,109,0.0872,0.055823150000000044,0.9979990125,0.10755166746788991,0.9758164626914678,0.9193741493,0.868264795223578,0.9193741493
not,gemma-2-9b-it,11,both_misaligned,117,0.0936,0.051082729999999965,0.0008707599999999704,0.10188731123931624,0.025051624888888888,0.05786669,0.0997264478888889,-0.03901474999999999
not,gemma-2-9b-it,12,both_aligned,549,0.4392,0.9988028,0.9980833,0.9718377096497268,0.9728890179724773,0.00739063019999997,0.051156542567194895,0.00011599000000006576
not,gemma-2-9b-it,12,aligned_output_misaligned_latent,475,0.38,0.99932814,0.0036409164,0.9667906216014737,0.027066582711494737,0.987512873,0.9397240388899789,-0.987512873
not,gemma-2-9b-it,12,misaligned_output_aligned_latent,109,0.0872,0.055823150000000044,0.9982765728,0.10921063444036698,0.9810634487861467,0.9202101186,0.8718528143457799,0.9202101186
