layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
13,0.0033919671550393105,True,0.33467336683417087,0.6653266331658292,0.6653266331658292,0.6746987951807228,0.3129619061946869,0.6746987951807228,0.5341365461847389,0.6265060240963856,0.24356023967266083,0.097503662109375,0.37976282835006714,115
14,0.0036987492348998785,False,0.6673366834170854,0.3326633165829146,0.6673366834170854,0.6827309236947792,0.30910733342170715,0.6827309236947792,0.5341365461847389,0.6184738955823293,0.22432635724544525,0.07400929927825928,0.35589563846588135,115
15,0.004046243149787188,True,0.3246231155778894,0.6753768844221105,0.6753768844221105,0.6706827309236948,0.2891979217529297,0.6706827309236948,0.5341365461847389,0.6224899598393574,0.23409059643745422,0.07923570275306702,0.35510486364364624,115
16,0.004606205504387617,True,0.3246231155778894,0.6753768844221105,0.6753768844221105,0.6746987951807228,0.25114884972572327,0.6746987951807228,0.5341365461847389,0.6184738955823293,0.2065749615430832,0.08630017191171646,0.3509982228279114,115
17,0.005001563113182783,False,0.8894472361809045,0.11055276381909548,0.8894472361809045,0.8835341365461847,0.19855929911136627,0.8835341365461847,0.5341365461847389,0.5060240963855421,0.22898796200752258,0.21811649203300476,0.4702319800853729,115
18,0.005020827986299992,True,0.11557788944723618,0.8844221105527639,0.8844221105527639,0.8714859437751004,0.19020181894302368,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.18170887231826782,0.20058989524841309,0.49369218945503235,115
19,0.005556144751608372,False,0.8824120603015075,0.11758793969849246,0.8824120603015075,0.8714859437751004,0.18800902366638184,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.2023928314447403,0.19787462055683136,0.46708279848098755,115
20,0.0058236559852957726,True,0.11758793969849246,0.8824120603015075,0.8824120603015075,0.8755020080321285,0.20224891602993011,0.8755020080321285,0.5341365461847389,0.5060240963855421,0.18757730722427368,0.18975679576396942,0.49430564045906067,115
21,0.005931367632001638,False,0.8844221105527639,0.11557788944723618,0.8844221105527639,0.8875502008032129,0.18181322515010834,0.8875502008032129,0.5341365461847389,0.4939759036144578,0.23742760717868805,0.22519195079803467,0.4976789057254791,115
22,0.006860214751213789,True,0.11557788944723618,0.8844221105527639,0.8844221105527639,0.8755020080321285,0.19086505472660065,0.8755020080321285,0.5341365461847389,0.4899598393574297,0.20990139245986938,0.20496587455272675,0.5065648555755615,115
23,0.00664176419377327,False,0.8773869346733668,0.12261306532663317,0.8773869346733668,0.8594377510040161,0.18609757721424103,0.8594377510040161,0.5341365461847389,0.5060240963855421,0.26953306794166565,0.2152080088853836,0.4682732820510864,115
24,0.0062049683183431625,True,0.1185929648241206,0.8814070351758794,0.8814070351758794,0.8714859437751004,0.18428665399551392,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.21236585080623627,0.21592603623867035,0.5232514142990112,115
25,0.005937027744948864,False,0.8763819095477386,0.12361809045226131,0.8763819095477386,0.8433734939759037,0.18433783948421478,0.8433734939759037,0.5341365461847389,0.4819277108433735,0.2925799787044525,0.2895989716053009,0.5173115134239197,115
26,0.007448907941579819,True,0.12160804020100502,0.878391959798995,0.878391959798995,0.8634538152610441,0.19308903813362122,0.8634538152610441,0.5341365461847389,0.5020080321285141,0.2487008422613144,0.2703327536582947,0.547153115272522,115
