model,layer,relative_depth,depth_category,latent_accuracy,behavioral_accuracy,latent_behavioral_agreement,latent_predicted_harmful_rate,n_samples
Gemma 2 2B,15,0.56,Middle,0.6706827309236948,0.5341365461847389,0.6224899598393574,0.6265060240963856,249
Gemma 2 2B,16,0.6,Middle,0.6746987951807228,0.5341365461847389,0.6184738955823293,0.6224899598393574,249
Gemma 2 2B,17,0.64,Late,0.8835341365461847,0.5341365461847389,0.5060240963855421,0.5100401606425703,249
Gemma 2 2B,18,0.68,Late,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.5060240963855421,249
Gemma 2 2B,19,0.72,Late,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.5060240963855421,249
Gemma 2 2B,20,0.76,Late,0.8755020080321285,0.5341365461847389,0.5060240963855421,0.5100401606425703,249
Gemma 2 2B,21,0.8,Late,0.8875502008032129,0.5341365461847389,0.4939759036144578,0.4979919678714859,249
Gemma 2 2B,22,0.84,Very late,0.8755020080321285,0.5341365461847389,0.4899598393574297,0.4939759036144578,249
Gemma 2 2B,23,0.88,Very late,0.8594377510040161,0.5341365461847389,0.5060240963855421,0.5100401606425703,249
Gemma 2 2B,24,0.92,Very late,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.5060240963855421,249
Gemma 2 2B,25,0.96,Very late,0.8433734939759037,0.5341365461847389,0.4819277108433735,0.4859437751004016,249
Gemma 2 2B,26,1.0,Very late,0.8634538152610441,0.5341365461847389,0.5020080321285141,0.5060240963855421,249
Gemma 2 2B IT,1,0.0,Very early,0.5461847389558233,0.5903614457831325,0.5622489959839357,0.5502008032128514,249
Gemma 2 2B IT,2,0.04,Very early,0.6144578313253012,0.5903614457831325,0.5582329317269076,0.5301204819277109,249
Gemma 2 2B IT,3,0.08,Very early,0.6224899598393574,0.5903614457831325,0.6224899598393574,0.5943775100401606,249
Gemma 2 2B IT,4,0.12,Very early,0.6184738955823293,0.5903614457831325,0.6265060240963856,0.5983935742971888,249
Gemma 2 2B IT,5,0.16,Very early,0.642570281124498,0.5903614457831325,0.6184738955823293,0.5903614457831325,249
Gemma 2 2B IT,6,0.2,Very early,0.678714859437751,0.5903614457831325,0.5823293172690763,0.6345381526104418,249
Gemma 2 2B IT,7,0.24,Early,0.6706827309236948,0.5903614457831325,0.5903614457831325,0.642570281124498,249
Gemma 2 2B IT,8,0.28,Early,0.6626506024096386,0.5903614457831325,0.5983935742971888,0.6506024096385542,249
Gemma 2 2B IT,9,0.32,Early,0.6706827309236948,0.5903614457831325,0.5903614457831325,0.642570281124498,249
Gemma 2 2B IT,10,0.36,Early,0.678714859437751,0.5903614457831325,0.5823293172690763,0.6345381526104418,249
Gemma 2 2B IT,11,0.4,Early,0.6746987951807228,0.5903614457831325,0.5863453815261044,0.6385542168674698,249
