dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
mixed,deberta-hate-tuned,7,misaligned_output_aligned_latent,192,0.15434083601286175,0.023219722999999998,0.65245226,0.07677267041250001,0.686829185,0.5994815760000001,0.6100565145875,0.5994815760000001
mixed,deberta-hate-tuned,7,both_misaligned,179,0.14389067524115756,0.009400743,0.32523233,0.05061172072569833,0.3370523484357542,0.2842201252,0.29252592636927377,0.2842201252
mixed,deberta-hate-tuned,8,both_aligned,521,0.4188102893890675,0.9952874472,0.60818064,0.9680549965026871,0.6247482561612284,0.38422989900000004,0.3548740992666027,-0.384193934
mixed,deberta-hate-tuned,8,aligned_output_misaligned_latent,352,0.2829581993569132,0.9929822145,0.37799498,0.9496420341625,0.3566192608522727,0.59203904315,0.5930227733102273,-0.59203904315
mixed,deberta-hate-tuned,8,misaligned_output_aligned_latent,185,0.1487138263665595,0.026126666,0.67179036,0.08103941042864865,0.689545382,0.604104806,0.6085059715713513,0.604104806
mixed,deberta-hate-tuned,8,both_misaligned,186,0.1495176848874598,0.0089151505,0.405633625,0.04735247204193548,0.41526520795698924,0.38504984664999997,0.3691666417215054,0.38504984664999997
mixed,deberta-hate-tuned,9,both_aligned,480,0.3858520900321543,0.9947604265000001,0.750641625,0.9620462425560417,0.7379351859166667,0.21829468920000006,0.237660380389375,-0.21297594074999998
mixed,deberta-hate-tuned,9,aligned_output_misaligned_latent,393,0.3159163987138264,0.994400525,0.30983079999999996,0.9589019154610687,0.30790009842239185,0.6549875700000001,0.6510018170386768,-0.6549875700000001
mixed,deberta-hate-tuned,9,misaligned_output_aligned_latent,198,0.15916398713826366,0.0271305505,0.72467455,0.08386548409646465,0.7306148766666667,0.655833763,0.646749392570202,0.655833763
mixed,deberta-hate-tuned,9,both_misaligned,173,0.13906752411575563,0.009400743,0.31929255,0.04158661779190751,0.29347086468208095,0.27251892,0.2584429892023122,0.27057003799999996
mixed,deberta-hate-tuned,10,both_aligned,497,0.3995176848874598,0.9943361725,0.62347937,0.9564110299875251,0.640092974386318,0.33140999000000004,0.3219932653396378,-0.33140999000000004
mixed,deberta-hate-tuned,10,aligned_output_misaligned_latent,376,0.3022508038585209,0.9950485698,0.38185963500000003,0.9662084236683511,0.3716138828989362,0.5907741388000001,0.5945945407694149,-0.5907741388000001
mixed,deberta-hate-tuned,10,misaligned_output_aligned_latent,217,0.17443729903536978,0.015810851,0.6597722,0.06918599578387097,0.6579047560829493,0.598255131,0.5887187602990783,0.598255131
